유형,대상,서비스명,소관기관,구비 서류,신청방법,신청기관
주택,다자녀,"(다자녀)주택구입,전세자금대출",국토교통부,"매매계약서 또는 전세계약서, 인감증명서 또는 본인서명사실확인서, 신분증, 주민등록등·초본, 소득증빙서류",방문,국민주택기금 수탁은행
비용,다자녀,(다자녀)도시가스요금경감,한국가스공사,주민등록등본(또는 가족관계증명서),"방문, 팩스, 우편",관할 도시가스회사
비용,다자녀,(다자녀)전기료감액,한국전력,"주민등록등본,외국인등록사실증명 또는 국내거소신고사실증명","방문, 우편","한국전력공사지사, 아파트관리사무소"
비용,다자녀,(다자녀)자동차취·등록세감면,행정자치부,가족관계증명서,방문,시·군·구청
비용,한부모,미혼모·부자 초기지원,여성가족부,가족관계증명서(상세) 혹은 혼인관계증명서,방문,미혼모부자거점기관
비용,한부모,저소득 한부모가족지원,여성가족부,"금융정보제공동의서, 자격증명서류(상담을 통해 결정)","방문, 인터넷(www.bokjiro.go.kr)",읍·면·동행정복지센터
시설,한부모,저소득 한부모가족 복지시설지원,여성가족부,한부모가족증명서 등 증빙자료(상담을 통해 결정),"방문, 전화","한부모가족복지시설, 시·군·구청"
비용,한부모,(차상위계층·한부모)도시가스요금 경감,한국가스공사,"한부모가족증명서, 차상위계층증명서","방문, 팩스, 우편",관할 도시가스회사
비용,한부모,(한부모)전기료 감액,한국전력공사,한부모가족증명서,"방문, 전화","한국전력공사지사, 읍·면·동행정복지센터"
비용,한부모,(한부모)건강보험료 경감,보건복지부,"자격증명서류(소득인정액, 재산소득환산액 등을 기준으로 판단)",,건강보험공단지사
비용,한부모,(한부모)정부양곡할인지원,보건복지부,,방문,읍·면·동행정복지센터
비용,한부모,"이동전화서비스 요금감면(기본료 및 통화료 각각35%, 월최대 10,500원)",미래창조과학부,신분증,방문,통신사대리점
시설,한부모,스포츠강좌이용권 지원(월8만원이내),문화체육관광부,"(해당 지자체에서 확인이 필요한 경우)신청인의 수급증명서 사본1부, (대리인신청시)대리인 신분증명서 사본 1부","방문, 인터넷(svoucher.kspo.or.kr)","시·군·구, 국민체육진흥공단"
비용,한부모,경찰청소관 과태료 감면(50%이내),경찰청,한부모가족증명서,방문,경찰서
비용,한부모,자동차검사수수료감면(수수료의 80%이내),교통안전공단,한부모가족증명서,방문,교통안전관리공단 및 산하 출장소
서비스,저소득층,아동통합서비스지원(드림스타트),보건복지부,"*임산부, 만12세이하(초등학생) 아동 및 가족을 대상으로 상담을 통해 지원 여부 확인","전화, 방문",시·군·구 드림스타트
비용,저소득층,(긴급복지)해산비지원,보건복지부,,"긴급지원주급여(생계, 의료, 주거, 시설이용)를 받는 가구에 한하여 지원. 시군구 사전확인 필요",시·군·구청
비용,저소득층,문화누리카드 지원,문화체육관광부,신분증명서,"방문, 인터넷(www.mnuri.kr)",읍·면·동행정복지센터
비용,생계·주거·의료급여수급자,해산급여,보건복지부,"출생증명서(주민등록상 출생신고가 되어 있으면 필요없음), 통장사본(필요시)",방문,읍·면·동행정복지센터
의료,기초생활수급자,신생아 난청조기진단 사업(신생아 청각선별검사),보건복지부,"국민기초생활수급자 증명서, 의료급여 수급증, 주민등록등본",방문,보건소
의료,의료급여수급자,의료급여(요양비) : 의료기관 외 출산 후 요양,보건복지부,"의사처방전, 세금계산서 등 의료급여를 받을 수 없었던 사유를 증명하는 서류",방문,읍·면·동행정복지센터
,기준중위소득,산모신생아건강관리,보건복지부,"출산(예정)일 증빙서류, 건강 보험 납부 확인서, 자격 확인서, 소득증빙서류, 주민등록등본",방문,보건소
용품,기준중위소득,저소득층 기저귀·조제 분유 지원사업,보건복지부,"건강보험증, 건강보험료 납부확인서, 주민등록등본(가족관계등록부)","방문, 인터넷(www.hometax.go.kr)",보건소
의료,기준중위소득,"취학전 아동 실명예방 (개안수술지원- 기초생활수급자 및 차상위계층, 중위소득 80%미만 가구)",보건복지부,진료소견서,방문,한국실명예방재단
의료,기준중위소득,미숙아 및 선천성이상아 의료비지원(180% 이하),보건복지부,"진료비영수증, 통장사본, 출생증명서(출생보고서), 진단서(선천성이상아), 주민등록등본(또는 가족관계증명서), 건강보험증 사본, 건강보험료 납부확인서",방문,"시군구청,"
의료,기준중위소득,신생아 난청조기진단 사업 (신생아 청각선별검사),보건복지부,"부모 신분증(부모 모두 필요), 건강보험료 납부확인서, 주민등록등본",방문,보건소
의료,전국 가구 월평균 소득,영유아 발달장애 정밀검사비 지원(소득 기준 보건소 문의 031-8024-4357),보건복지부,[소득확인서류],방문,보건소
비용,전국 가구 월평균 소득,근로(자녀)장려금(부부합산 소득계산 기준),국세청,"*국세청에서 확인한 소득, 재산자료와 다를 경우에만 소득, 재산 등 증거서류 제출","전화, 우편, 인터넷(www.hometax.go.kr)","세무서, 홈택스"
비용,장애인,여성장애인 출산비용 지원 (1~6급),보건복지부,"신분증, 출생증명서, 주민등록등본(가족관계등록부), 본인명의 통장사본, (사산·유산시)의료기관 발행 진단서",방문,읍·면·동행정복지센터
비용,일반,출산축하금 신청,평택시,"* 1회 일시금 지급
(2023. 7. 1. 출생아 이후)
- 첫째아 : 50만원
- 둘째아 : 120만원
- 셋째아 : 300만원
- 넷째아 이상 : 500만원","신분증, 가족관계증명서, 통장사본",주민센터
비용,장애가정,출산지원금,평택시,"심한 장애 : 150만원
심하지 않은 장애 : 100만원","신분증, 가족관계증명서, 통장사본, 장애인등록증",주민센터
비용,일반,산후조리비 지원,경기도,신분증,(출생등록 하는)관할 행정복지센터 방문신청,읍·면·동행정복지센터
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
